Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,2.942937,-34.5,0.0,top
C2,10uF,C_0402_1005Metric,2.902937,-60.26,180.0,top
C3,1uF,C_0402_1005Metric,7.517937,-59.154,180.0,top
C5,10uF,C_0402_1005Metric,4.302937,-23.46,90.0,top
D2,~,D_SOD-123F,13.912937,-60.72,0.0,top
D3,~,D_SOD-123F,13.042937,-24.84,-90.0,top
D4,GREEN,LED_0805_2012Metric,9.822937,-32.2175,-90.0,top
Q1,NPN,SOT-23,8.902937,-26.6975,90.0,top
Q2,NPN,SOT-23,6.142937,-31.31,180.0,top
R1,10k,R_0402_1005Metric,13.828937,-34.04,-90.0,top
R2,10k,R_0402_1005Metric,16.622937,-32.482,-90.0,top
R3,10k,R_0402_1005Metric,10.526937,-54.838,90.0,top
R4,10k,R_0402_1005Metric,13.066937,-54.838,90.0,top
R5,10k,R_0402_1005Metric,7.982937,-54.84,-90.0,top
R6,10k,R_0402_1005Metric,19.942937,-54.834,90.0,top
R7,1M,R_0402_1005Metric,7.497937,-57.884,180.0,top
R8,10k,R_0402_1005Metric,15.722937,-57.854484,90.0,top
R9,5.1k,R_0402_1005Metric,13.092937,-28.52,180.0,top
R10,100k,R_0402_1005Metric,4.302937,-26.27,-90.0,top
SW1,Reset,SW-SMD_4P-L6.0-W6.4-P4.50-LS8.4,20.401438,-28.06,90.0,top
U1,ESP-12F,ESP-12E,16.262937,-44.344968,-90.0,top
